t,v1,v2,v3,v4,v1_external,v2_external,v3_external,v4_external
0.000000000000000000e+00,9.668185111729153958e-01,9.024792685148410459e-03,3.070845350979021227e-01,5.927253848950132520e-01,4.413110893409347701e-01,-3.310396984878864468e-01,3.067141922612661720e-01,-3.503153485547784163e-01
5.000000000000000104e-03,1.014111908414182750e+00,1.133524207834938138e-02,3.344465688108827495e-01,5.980618279712833774e-01,4.886044865822021244e-01,-3.287292490946854273e-01,3.340762259742467988e-01,-3.449789054785082909e-01
1.000000000000000021e-02,1.059421960907163118e+00,5.851131787198632535e-03,3.676399970672981077e-01,6.073810573531495116e-01,5.339145390751824927e-01,-3.342133593858361840e-01,3.672696542306621570e-01,-3.356596760966421567e-01
1.499999999999999944e-02,1.102245609419287176e+00,3.991804332779081907e-03,3.998184182954269139e-01,6.095489089369444669e-01,5.767381875873065500e-01,-3.360726868402557632e-01,3.994480754587909632e-01,-3.334918245128472014e-01
2.000000000000000042e-02,1.152400108468892848e+00,6.765324735844862984e-03,4.413689293221961241e-01,6.148328113292429453e-01,6.268926866369122219e-01,-3.332991664371899865e-01,4.409985864855601734e-01,-3.282079221205487229e-01
2.500000000000000139e-02,1.196716362715388948e+00,4.390034466194977711e-03,4.770299306839128617e-01,6.184351878741431996e-01,6.712089408834083226e-01,-3.356744567068398744e-01,4.766595878472769110e-01,-3.246055455756484687e-01
2.999999999999999889e-02,1.239333676784732940e+00,1.348838948105578889e-02,5.163808690870873574e-01,6.218152377538320730e-01,7.138262549527523149e-01,-3.265761016919790372e-01,5.160105262504514068e-01,-3.212254956959595953e-01
3.500000000000000333e-02,1.285360432396535968e+00,1.730249924136268574e-02,5.591820243446823380e-01,6.244519056930513123e-01,7.598530105645553423e-01,-3.227619919316721542e-01,5.588116815080463873e-01,-3.185888277567403559e-01
4.000000000000000083e-02,1.327786314379884258e+00,1.914555590966948023e-02,6.032491369343117027e-01,6.291625990511608979e-01,8.022788925479036326e-01,-3.209189352633653458e-01,6.028787940976757520e-01,-3.138781343986307704e-01
4.499999999999999833e-02,1.369440211616598457e+00,2.006965343945025376e-02,6.431278959101814907e-01,6.316101947285183149e-01,8.439327897846178317e-01,-3.199948377335845584e-01,6.427575530735455400e-01,-3.114305387212733534e-01
5.000000000000000278e-02,1.409513383963540978e+00,2.880528237431403960e-02,6.854217403195166369e-01,6.280043177700435075e-01,8.840059621315603522e-01,-3.112592087987208211e-01,6.850513974828806862e-01,-3.150364156797481607e-01
5.500000000000000028e-02,1.449845733218772859e+00,3.533132931280514449e-02,7.327601610952594324e-01,6.265808243331841831e-01,9.243383113867922329e-01,-3.047331618602296954e-01,7.323898182586234817e-01,-3.164599091166074851e-01
5.999999999999999778e-02,1.485155752266313689e+00,4.144123282314391560e-02,7.819607337964371574e-01,6.287954610912794839e-01,9.596483304343330634e-01,-2.986232583498908966e-01,7.815903909598012067e-01,-3.142452723585121843e-01
6.500000000000000222e-02,1.522657865238158381e+00,5.040303495908533132e-02,8.280885804555433438e-01,6.262839064681285928e-01,9.971504434061777555e-01,-2.896614562139495086e-01,8.277182376189073931e-01,-3.167568269816630755e-01
7.000000000000000666e-02,1.556760442107864018e+00,6.112195267446220159e-02,8.731824624932448264e-01,6.230046558919428712e-01,1.031253020275883392e+00,-2.789425384985726453e-01,8.728121196566088758e-01,-3.200360775578487971e-01
7.499999999999999722e-02,1.591966299277380426e+00,6.921576984130285715e-02,9.228653592070780176e-01,6.169287701686073655e-01,1.066458877445399800e+00,-2.708487213317319897e-01,9.224950163704420669e-01,-3.261119632811843028e-01
8.000000000000000167e-02,1.622121880216741641e+00,8.076478406861142822e-02,9.689685475046365681e-01,6.114063221627203948e-01,1.096614458384761015e+00,-2.592997071044234048e-01,9.685982046680006174e-01,-3.316344112870712735e-01
8.500000000000000611e-02,1.650898496707408514e+00,9.216757742670522724e-02,1.017268983016812456e+00,6.097504580144014197e-01,1.125391074875427888e+00,-2.478969137463296057e-01,1.016898640180176505e+00,-3.332902754353902486e-01
