t,v1,v2,v3,v4
0.000000000000000000e+00,6.801826908135921723e-01,2.241432574278139356e-01,2.039987579405523957e-02,9.136334299989576913e-01
5.000000000000000104e-03,7.065122466059408080e-01,2.095328320619898321e-01,2.539775924504917085e-02,8.997320941437082498e-01
1.000000000000000021e-02,7.303543351241367221e-01,1.867556371844892871e-01,3.567097976829899236e-02,8.893866613484726624e-01
1.499999999999999944e-02,7.512765903702878223e-01,1.672885398124237533e-01,4.444247120867442225e-02,8.715296926369939801e-01
2.000000000000000042e-02,7.791692299370233110e-01,1.521983828282582885e-01,6.217089102137675349e-02,8.564967907342997400e-01
2.500000000000000139e-02,8.009378997582499160e-01,1.317631455936507379e-01,7.366802414234677188e-02,8.395595298555591501e-01
2.999999999999999889e-02,8.207979127323976609e-01,1.226653838259721130e-01,8.858810585467188914e-02,8.222467593931451768e-01
3.500000000000000333e-02,8.439344008734056546e-01,1.082073698762573699e-01,1.067671742351818664e-01,8.041070964129776177e-01
4.000000000000000083e-02,8.634140086421463467e-01,9.176212682910815654e-02,1.260972519066256847e-01,7.880271710568419463e-01
4.499999999999999833e-02,8.821422597318625547e-01,7.444086025459732692e-02,1.412003806949446438e-01,7.697381724365527367e-01
5.000000000000000278e-02,8.993861946494464688e-01,6.503207739251727626e-02,1.587559664557125494e-01,7.455166818251605099e-01
5.500000000000000028e-02,9.170601233893195259e-01,5.357122647214068722e-02,1.814686253503196289e-01,7.236637304239149637e-01
5.999999999999999778e-02,9.299550733913820588e-01,4.190651143076117024e-02,2.062297663837835138e-01,7.056980580069525111e-01
6.500000000000000222e-02,9.453556513950589490e-01,3.335862434812881389e-02,2.281766129697646306e-01,6.833157816340337254e-01
7.000000000000000666e-02,9.577376079866085634e-01,2.688302270496527313e-02,2.494178699768524188e-01,6.605329399267196866e-01
7.499999999999999722e-02,9.716679213008739824e-01,1.814505459457347453e-02,2.756438951673854665e-01,6.353749347924421143e-01
8.000000000000000167e-02,9.810535982710204550e-01,1.326966809763193735e-02,2.987503949349331056e-01,6.112427080213118646e-01
8.500000000000000611e-02,9.896225776732420210e-01,8.696975507428369306e-03,3.245754484598336043e-01,5.914965706548034330e-01
8.999999999999999667e-02,9.966064914188794699e-01,2.448670406785448655e-03,3.482585572547480801e-01,5.702051340529895596e-01
9.500000000000000111e-02,1.004354305062732156e+00,1.671681199206181880e-03,3.728987740154910968e-01,5.430820088923961064e-01
1.000000000000000056e-01,1.010330790190871353e+00,-9.917424106549910159e-05,4.019991220471250681e-01,5.227142612765174334e-01
1.049999999999999961e-01,1.013973939274002145e+00,3.339055348000846517e-03,4.286142548302541155e-01,4.996669147192704385e-01
1.100000000000000006e-01,1.020111332498556900e+00,7.836957346960807171e-04,4.538501800709240364e-01,4.773146408793665918e-01
1.150000000000000050e-01,1.021349601816433639e+00,2.650827410554706248e-03,4.767854340194821461e-01,4.516964411618027975e-01
1.199999999999999956e-01,1.014573637215239410e+00,4.523800595119399637e-03,5.073622927199544774e-01,4.311219226671169080e-01
1.250000000000000000e-01,1.015760693400877601e+00,7.138327104086468478e-03,5.340020255267664551e-01,4.098060609247972663e-01
1.300000000000000044e-01,1.017654681168605357e+00,1.125130715652922393e-02,5.565044823237619287e-01,3.875214745536066929e-01
1.350000000000000089e-01,1.014591191064578846e+00,1.558351707299120842e-02,5.828333746346526789e-01,3.671023301733020716e-01
1.400000000000000133e-01,1.012306009861713818e+00,1.712219069940675020e-02,6.079564409526291291e-01,3.437431486326711916e-01
1.449999999999999900e-01,1.007816735358458837e+00,2.753291675396308050e-02,6.321227607777826218e-01,3.231493422637680135e-01
1.499999999999999944e-01,1.006231785736942941e+00,3.306951728882731589e-02,6.569826063161173790e-01,2.989132522758659594e-01
1.549999999999999989e-01,9.935487734198991117e-01,4.116937644818834813e-02,6.826108783927169465e-01,2.875196982264278667e-01
1.600000000000000033e-01,9.880102447729124382e-01,4.789044173968529106e-02,7.049840128010341767e-01,2.684855520111485427e-01
1.650000000000000078e-01,9.851136252138641414e-01,5.652257050486988316e-02,7.228763214078993693e-01,2.523492198153204913e-01
1.700000000000000122e-01,9.739085938654293839e-01,6.736714808311290714e-02,7.477900843675110432e-01,2.321008423542874344e-01
1.749999999999999889e-01,9.649074730908512310e-01,7.589455578434503580e-02,7.693242843341516757e-01,2.185954415668650008e-01
1.799999999999999933e-01,9.529528686717746444e-01,8.675017682354443926e-02,7.881499474127441340e-01,2.027052609589674870e-01
1.849999999999999978e-01,9.405714077559104158e-01,9.728299468248891024e-02,8.053099650154411648e-01,1.861907184731853293e-01
