t,v1,v2,v3,v4
0.000000000000000000e+00,7.325576432602669275e-02,4.781306505957883535e-01,2.420444006113394442e-01,3.506540760781353683e-01
5.000000000000000104e-03,6.064057290206232437e-02,5.123042490322812226e-01,2.595750919518264310e-01,3.475884092293729521e-01
1.000000000000000021e-02,4.759897190794204480e-02,5.378566981540755521e-01,2.834612355790676053e-01,3.489860519827937546e-01
1.499999999999999944e-02,3.381477785512888162e-02,5.661072521306608207e-01,3.068851860255877306e-01,3.437381678713842814e-01
2.000000000000000042e-02,2.928412935954456328e-02,5.979686110982391778e-01,3.402606706764946254e-01,3.421350194547983503e-01
2.500000000000000139e-02,2.100768166708334370e-02,6.235690809295364456e-01,3.683504270309072570e-01,3.393992281177138359e-01
2.999999999999999889e-02,1.328428621728770798e-02,6.594469680196090033e-01,4.007557892325080973e-01,3.370074367243114932e-01
3.500000000000000333e-02,1.137068028052315959e-02,6.887666204785115598e-01,4.372563330501100798e-01,3.344531857755781989e-01
4.000000000000000083e-02,8.392818525742626323e-03,7.147703001887772967e-01,4.756843772842159201e-01,3.345655626264871785e-01
4.499999999999999833e-02,7.302981761400801838e-03,7.384463815071193871e-01,5.105993630924946514e-01,3.330161666118677255e-01
5.000000000000000278e-02,7.402261883755006065e-03,7.684691593631940432e-01,5.486155660327046713e-01,3.260203720325899335e-01
5.500000000000000028e-02,1.062626772785224549e-02,7.947690935401610091e-01,5.923703292843404133e-01,3.218168213899477159e-01
5.999999999999999778e-02,1.177463111743579441e-02,8.190991396632129051e-01,6.386860497065252051e-01,3.218611203226590112e-01
6.500000000000000222e-02,1.812802956277240890e-02,8.446949056983613646e-01,6.826296160331729590e-01,3.177859387062929031e-01
7.000000000000000666e-02,2.414601101534531724e-02,8.704372588055673265e-01,7.262385019250902074e-01,3.135439788702708008e-01
7.499999999999999722e-02,3.436743259399781258e-02,8.919276846591888130e-01,7.751313688320058404e-01,3.070978285304483690e-01
8.000000000000000167e-02,4.265970605464030480e-02,9.152381356564132098e-01,8.211321944442478982e-01,3.017865318865980417e-01
8.500000000000000611e-02,5.270022765485072452e-02,9.367666401009512311e-01,8.700077266261220243e-01,3.009097931715207785e-01
8.999999999999999667e-02,6.365974141339103554e-02,9.545036728854741082e-01,9.168269555399177762e-01,2.984772583662250178e-01
9.500000000000000111e-02,7.781664855211226084e-02,9.755756748468573658e-01,9.646196536539305422e-01,2.901455385356042083e-01
1.000000000000000056e-01,9.255620701244392234e-02,9.935074899838309825e-01,1.016821190796622698e+00,2.884469616440463180e-01
1.049999999999999961e-01,1.072287224167243619e-01,1.014502314058628007e+00,1.066420569902327475e+00,2.838943397567917915e-01
1.100000000000000006e-01,1.265667304754337641e-01,1.027367568623996252e+00,1.114460504132038343e+00,2.798128931227904515e-01
1.150000000000000050e-01,1.430753064239538574e-01,1.042538849089476916e+00,1.159958917818831647e+00,2.721951323394709021e-01
1.199999999999999956e-01,1.535321368356260263e-01,1.055627949717570235e+00,1.212800454948336881e+00,2.693073016197817249e-01
1.250000000000000000e-01,1.738025024896494575e-01,1.067407415180156915e+00,1.261351997990394880e+00,2.653242755702782119e-01
1.300000000000000044e-01,1.965144473357438859e-01,1.078678784534793600e+00,1.305362486471521644e+00,2.599819350065142864e-01
1.350000000000000089e-01,2.158846723212917706e-01,1.088214661457752142e+00,1.352748393929182891e+00,2.560811408884192120e-01
1.400000000000000133e-01,2.375279062819056763e-01,1.093060651439581532e+00,1.398434052547675055e+00,2.487865785431972732e-01
1.449999999999999900e-01,2.583393516875982510e-01,1.104946595883204319e+00,1.442629089456779701e+00,2.437773032902948722e-01
1.499999999999999944e-01,2.833044944525798803e-01,1.110195775810599139e+00,1.486948363654629457e+00,2.346227582490138519e-01
1.549999999999999989e-01,2.982982414765044110e-01,1.116319561553100304e+00,1.531435450615574290e+00,2.377882781557602576e-01
1.600000000000000033e-01,3.214413817895107606e-01,1.119453737434690010e+00,1.572039561780087746e+00,2.327745936981741315e-01
1.650000000000000078e-01,3.481112062265823148e-01,1.122969180457555671e+00,1.607511864659111556e+00,2.301072220127853563e-01
1.700000000000000122e-01,3.672395059750858115e-01,1.127250825283652169e+00,1.649335521706361884e+00,2.227665559718637611e-01
1.749999999999999889e-01,3.892235323964078342e-01,1.127854498859339527e+00,1.687094340992366215e+00,2.216008827805490411e-01
1.799999999999999933e-01,4.087941517705328542e-01,1.129512317470607652e+00,1.721448005847765916e+00,2.174785814573592102e-01
1.849999999999999978e-01,4.283700407906004259e-01,1.129660704712389441e+00,1.753431760305140363e+00,2.121589204384814742e-01
1.900000000000000022e-01,4.537135754233223017e-01,1.128177560117057165e+00,1.793509678187993561e+00,2.082884635397210249e-01
1.950000000000000067e-01,4.751301475594068568e-01,1.126652397550017781e+00,1.824532491673325652e+00,2.031525008415687172e-01
2.000000000000000111e-01,4.937679817647926406e-01,1.122780553556541605e+00,1.855094904849150739e+00,2.017285899540433858e-01
2.049999999999999878e-01,5.159034756324816229e-01,1.120379529246076089e+00,1.882754457562308525e+00,1.984386733106019152e-01
2.099999999999999922e-01,5.378728523365443603e-01,1.118299057878856084e+00,1.913468292510132729e+00,1.922203298743627442e-01
